OBJECTID_1,FEATURE_TY,COUNTY_FIP,ROAD_NAME,GlobalID,last_edited_date
664,County Road,151,Jodeco Rd,{6562A6F8-F21C-46D9-B541-B257DACFBE85},
665,County Road,247,Covington Hwy,{A225B5FA-3871-451C-A5D1-08D10E396148},
666,County Road,247,Covington Hwy,{0687A4C7-B44B-4230-9998-906EA5F0D03E},
667,County Road,247,Covington Hwy,{552037F7-8AA6-4007-BA55-DC60D544F0EC},
668,County Road,247,Covington Hwy,{5DC7F561-9C84-412E-8BA8-022D687539DC},
669,County Road,247,Gees Mill Rd,{71A27005-A57D-41F7-A6DC-4606F26A7C9C},
670,County Road,247,Gees Mill Rd,{E508BA02-0088-4582-835C-BBB643B66E1F},
671,County Road,247,Old Covington Hwy,{A614D9B2-BE66-4465-A38A-A3E615A7D6ED},
672,State Highway,067,Page St,{2608E603-5644-4C77-A7EF-FBB68BAFA69C},
673,State Highway,067,Pearl St SE,{A56CB83B-FCF2-4DD0-8DA2-2B7BDB037ECF},
674,State Highway,067,Powder Springs St,{8E5B69DD-DE5C-4E11-83E8-BE9030F5BF15},
675,State Highway,067,S Cobb Dr,{450C19AC-A2BC-4F86-9D9A-A65DD3808BFC},
676,State Highway,067,S Park Sq NE,{E5104BEF-0965-4C39-8B0B-A4FF49CAB803},
677,State Highway,067,State Route 120 (Loop),{FADA7A1D-4A9F-42C7-95FC-CB2982F60401},
678,State Highway,067,State Route 5 (Spur),{0C26F2E3-4FA6-4E9C-AEA4-2B5D8F76C126},
679,State Highway,067,W Marietta Pky,{6BEE7E97-12C2-47A6-9756-5E99F9154394},
680,State Highway,067,Washington Ave NE,{56965FED-981B-4F9A-8784-84DE66AE77F9},
681,State Highway,067,Westside Rd,{5942BE99-13EF-4516-8C43-DB90886F1736},
682,State Highway,067,Whitley Rd NW,{688D5529-96F0-45C6-8625-550BB265DF91},
683,State Highway,067/223,County Line Rd,{4977825F-8F0C-4816-9BAC-F1F2CE1BC8D1},
684,State Highway,067/223,State Route 92,{38BCDF2E-F916-416F-8540-1CDD0FB1D2CF},
685,County Road,247,Old Covington Hwy,{98877A4E-4886-440C-B701-8C9EB1CD6424},
686,County Road,247,Old Covington Hwy,{8EAD1E67-026B-4555-8E18-2B292430A849},
687,County Road,247,Old Covington Hwy,{689A3A22-178E-49CC-8284-D36A46A19AAF},
688,County Road,247,Old Covington Hwy,{AC955D85-48D5-4BF3-B351-8BD18AA41814},
689,County Road,247,Old Covington Rd,{11C23981-7346-46D8-9F3F-C8D8BC578640},
690,County Road,247,Old Covington Rd,{61EE1EE4-D488-4E74-AD5D-DEDE681C4860},
691,State Highway,013, ,{4D174F46-5E21-4AA8-8D20-73556A5D84F4},
692,State Highway,013, ,{3912A686-16E4-4C80-9ED3-EFF2F67FF9A2},
693,State Highway,013, ,{CF2F6C55-AC1E-4A68-A4D1-4731198E333D},
694,State Highway,013, ,{5F537056-D8EF-4DB9-B718-ABCEEC48B6FA},
695,State Highway,013, ,{D4494AEE-BBBA-41F0-9F35-1E9186009399},
696,State Highway,013,5th Ave,{D9DE7239-76D3-4146-A473-7EB0A3DDDA72},
697,State Highway,013,5th Ave,{699524AB-5ECC-41D1-82EA-F0E1C1758EF3},
698,State Highway,013,Lawrenceville-Athens Hwy,{102D2760-501A-4DD0-9B90-ED3DFE17F007},
699,State Highway,013,Lawrenceville-Athens Hwy,{908679A0-48A9-4921-A7B2-C202758F578B},
700,State Highway,013,Lawrenceville-Athens Hwy,{65489A18-CE36-4106-B9B3-17BAC4EFDFC1},
701,State Highway,013,Monroe Hwy,{2A2FAF19-1917-4438-BA34-2A14284DC8D4},
702,State Highway,013,Monroe Hwy,{B31E11C2-E724-40DE-A1F9-4956DD46A6CC},
703,State Highway,013,Monroe Hwy,{76A3EF5C-55C4-4D82-B5FB-DBBFCDF4E26E},
704,State Highway,077,Bullsboro Dr,{4752B04B-99A7-4CD3-B676-6CB6028F82C5},
705,State Highway,077,Franklin Rd,{DD421236-FA4A-4C3A-B19F-5248DC9675EE},
