OBJECTID,X,Y,Organization_Name,Study_Region,Street,City,ZIP,State,Data_Source,last_edited_date,GlobalID,Expenditures_2015_16,Attendance_2105_16
53,-84.295703,33.774475,Several Dancers Core,Rest of 10-county Metro Atlanta Area,133 SYCAMORE ST,DECATUR,30030-3338,GA,Paper Survey,2018-02-08T21:22:29.000Z,{52897280-3FEA-4405-9A5F-8AD7EDA1AB60},312795,0
54,-84.384966,33.790483,Museum Of Design Atlanta,City of Atlanta,1315 PEACHTREE ST NE,ATLANTA,30309-7515,GA,DataArts,2018-02-08T21:22:29.000Z,{5E102948-9DE8-465D-BE14-D7208887E14F},88638,14223
55,-84.374135,33.791653,Atlanta Botanical Garden,City of Atlanta,1345 PIEDMONT AVE NE,ATLANTA,30309-3366,GA,Paper Survey,2018-02-08T21:22:29.000Z,{600B20EE-7E76-4D8D-ABE8-5897F622D359},17085674,508948
56,-84.382981,33.755493,Apex Museum,City of Atlanta,135 AUBURN AVENUE,ATLANTA,30303-2567,GA,Paper Survey,2018-02-08T21:22:29.000Z,{7BC0A9F5-81F9-43CF-880B-50C26450FBA8},107014,0
57,-84.387701,33.791452,Global Spectrum Foundation,Rest of Fulton County,1349 WEST PEACHTREE STREET NW TWO M,ATLANTA,30309-0000,GA,Paper Survey,2018-02-08T21:22:29.000Z,{12F22CA7-70FE-415D-BFAB-D3152E8BBF98},563983,0
58,-84.142881,33.449276,Henry Players,Rest of 10-county Metro Atlanta Area,136 Hood Street,MCDONOUGH,30253,GA,Paper Survey,2018-02-08T21:22:29.000Z,{1B219060-028B-40D7-B66B-63DB1A1FC3D7},73378,0
59,-84.389216,33.793063,Center for Puppetry Arts,City of Atlanta,1404 SPRING ST NW,ATLANTA,30309-2820,GA,Paper Survey,2018-02-08T21:22:29.000Z,{2BA59DD1-0F37-4DA6-93CC-DD28196CFD75},9062884,143628
60,-84.354374,33.522661,Arts Clayton,Rest of 10-county Metro Atlanta Area,136 N MAIN ST,JONESBORO,30236-0000,GA,Paper Survey,2018-02-08T21:22:29.000Z,{84FC1024-5E3B-4161-992F-9AA7657A7D93},532692,57600
61,-84.333059,33.712203,Essential Theatre (Georgia),Rest of 10-county Metro Atlanta Area,1414 FOXHALL LN SE APT 10,ATLANTA,30316-4070,GA,Paper Survey,2018-02-08T21:22:29.000Z,{79348CF4-53F8-467A-84F8-BF7500AD1AE2},31640,1375
62,-84.389139,33.794747,Atlanta Jewish Music Festival,City of Atlanta,1440 SPRING ST NW,ATLANTA,30309-2832,GA,DataArts,2018-02-08T21:22:29.000Z,{EEE02379-DB7E-4594-AD0B-4E66E73590E7},91250,17000
63,-84.389139,33.794747,William Breman Jewish Heritage Museum,City of Atlanta,1440 Spring St NW,Atlanta,30309,GA,Paper Survey,2018-02-08T21:22:29.000Z,{01016839-06F1-4A05-87BC-14DB20BA80D5},1287670,31206
64,-84.420182,33.795148,Souls Grown Deep Foundation,City of Atlanta,1454 ENGLISH ST NW,ATLANTA,30318-4114,GA,Paper Survey,2018-02-08T21:22:29.000Z,{A546B3E4-67D2-4877-B846-6E6DFCB6CA37},265046,0
65,-84.433821,33.847318,Georgia Academy of Music,City of Atlanta,1424 West Paces Ferry Road Northwest,ATLANTA,30327,GA,Paper Survey,2018-02-08T21:22:29.000Z,{C8FB2DF4-39EB-4886-8969-B920BA010422},559770,0
66,-84.395867,34.02041,Country Dance and Song Society (Georgia),Rest of Fulton County,1495 RIDGEFIELD DR,ROSWELL,30075-4156,GA,Paper Survey,2018-02-08T21:22:29.000Z,{6C4CD77B-E50E-4968-8457-0478B45AA22B},57157,0
67,-84.438132,33.679455,Lucky Penny,Rest of Fulton County,1514 Cleveland Avenue,East Point,30344,GA,Paper Survey,2018-02-08T21:22:29.000Z,{5697E064-7279-43A1-81A3-5937BCFE684D},61898,1000
68,-84.387806,33.796189,Georgia Trust for Historic Preservation,City of Atlanta,1516 PEACHTREE ST NW,ATLANTA,30309-2908,GA,Paper Survey,2018-02-08T21:22:29.000Z,{93F026FD-BE34-41E2-B9AA-CBBA08F457A3},1575286,40000
69,-84.388487,33.797132,Synchronicity Theatre,City of Atlanta,1545 Peachtree St. NE,ATLANTA,30309,GA,DataArts,2018-02-08T21:22:29.000Z,{FC05527F-B0E1-4D5F-A899-978B606BB518},544674,8382
70,-84.510685,33.819389,Georgia Nihongo Gakko,Rest of 10-county Metro Atlanta Area,1550 PEBBLEBROOK CIR SE,MABLETON,30126-2750,GA,Paper Survey,2018-02-08T21:22:29.000Z,{9FD6DD29-6042-4EB4-BBE2-2D7EB809E44B},577205,447
71,-84.407755,33.79847,Atlanta Opera,City of Atlanta,1575 NORTHSIDE DR NW STE 350,ATLANTA,30318-4210,GA,Paper Survey,2018-02-08T21:22:29.000Z,{C3105E7C-A9B5-4295-A623-8A9986C6954E},5159524,76000
