X,Y,OBJECTID,Name,Address,Type,City,Zip,GlobalID,last_edited_date
-84.304116532109148,33.772917354749964,544,"DeKalb History Center Historic Complex, The",716 West Trinity Place,Museum,Decatur,30030,{B0328A9F-6979-4C0B-8F1A-25BB459E4356},
-84.099127260917086,33.787219217961685,545,Atlanta School Of The Performing Arts Inc,7126 Sweetwater Vly,Performance,Stone Mtn,0,{B943A73B-349A-40F7-AA04-D872EAFE547B},
-84.55438834998732,34.318444118092316,546,"Reinhardt University, The Falany Performing Arts Center",7300 Reinhardt Circle,Performance,Waleska,30183,{AB1B7CE6-AF4C-44A5-93D4-3448F49AF7C1},
-84.284146511675587,34.092294574824841,547,One Star Ranch (Alpharetta),732 North Main St.,Other,Alpharetta,30004,{BBA32C85-BDAB-4715-AE96-63F92E49980F},
-84.412351865910367,33.752258833570444,548,Clark Atlanta University - Panther Stadium,735 Beckwith St. SW,Performance,Atlanta,30314,{3C624485-2D91-45F7-B1EB-FED9F022B2DD},
-84.363852640931441,33.774446270563644,549,MJQ Concourse,736 Ponce de Leon Place,Other,Atlanta,30306,{BC5BDD50-8859-485A-AE28-D4E070A7F2B1},
-84.363852640931441,33.774446270563644,550,"Drunken Unicorn, The",736 Ponce de Leon Place NE,Performance,Atlanta,30306,{4FBD77BF-69CE-475D-97A1-9C6FA8CAD389},
-84.393627667833243,33.812238381268578,551,MOCA GA,75 Bennett St.,Gallery,Atlanta,30309,{D5E0C1BE-607C-44BA-92FA-1A0FA8B3DEEA},
-84.393627667833243,33.812238381268578,552,Atlanta Photography Group Gallery,"75 Bennett St. NW, Space B-1",Gallery,Atlanta,30309,{3D24D2FC-D77F-48B3-95C1-E3F1FBDE09DD},
-84.349508953011934,33.734064477029321,553,Journey Performing Arts Center Inc,749 Moreland Ave Se,Performance,Atlanta,0,{889E612F-D464-4DA3-B40E-34CA7FE3DD6C},
