X,Y,OBJECTID,EXIT_,INTERSTATE,GlobalID,last_edited_date
-84.352018044661534,33.913806946915876,137,28,I285,{D3C1788A-9274-4D66-BB42-46FF236F9F41},
-84.35672133896837,33.911826616084156,138,27,I285,{8274F9B2-6079-4E80-A147-8CB8854FA1EE},
-84.314807825754627,33.920318054492874,139,30,I285,{68EC0E6A-2B50-4D2F-9449-BB95FD4B0C0B},
-84.258337095874651,33.891785961395719,140,95,I85,{803C8679-FD08-48D9-9B55-B9BABF14C867},
-84.25117642696182,33.885617251154422,141,34,I285,{471424A6-7336-4BD0-BF40-D60606FCF2F7},
-84.207758832535177,33.912045672241248,142,99,I85,{E34EB2E4-4B62-4F7E-957B-4BF5B1DF0200},
-84.249962750432147,33.803643456866062,143,40,I285,{0327DF72-C13E-4FEF-BC59-51F1F6C185AF},
-84.252662709260079,33.827157289116791,144,38,I285,{0AE694EC-F208-40DA-B296-F528CF935B34},
-84.246922115782368,33.846414081109828,145,37,I285,{983D322E-2408-42C3-A3EC-5AE1C0C5342A},
-84.27268554491657,33.878844919047744,146,94,I85,{54D1802E-9940-4B34-B3E7-434DFE1C1C78},
-84.313066626994654,33.840435321462458,147,91,I85,{7A34B9CA-4E71-4371-9B23-5E551C43AAB3},
-84.335131233302391,33.832142394093722,148,89,I85,{74AEE4CF-D30B-4CD5-8C0E-ACDE17418498},
-84.352024880441462,33.823789783824267,149,88,I85,{3BCEC3D0-E9C4-475F-9D99-8AC5E3AD78FE},
-84.359177909331734,33.822372661372711,150,87,I85,{BEC72A2A-B883-46A7-AF7B-65BCECA22403},
-84.437826993579492,33.863033443014224,151,256,I75,{342C1600-2B1E-4E78-B9CE-B764E045FDB4},
-84.430913909299591,33.84884733622571,152,255,I75,{9D8A04E0-A1ED-4311-87F8-8676F929F51A},
-84.427231516870194,33.831385384902937,153,254,I75,{7DEB50FD-BD8A-4323-ACE3-15E8A4DA5CEB},
-84.37264947287359,33.811052779773121,154,86,I85,{199C4BC9-5C91-4AEE-937A-9A4A4EAF93F0},
-84.470092475878801,33.884269579911582,155,19,I285,{CEEEB56F-397E-4148-A1A9-4CCEDED4E8CC},
-84.47959170162072,33.864105146685972,156,18,I285,{0EF3C3AD-0BED-4261-B660-8D3E5943E96A},
-84.487563687311209,33.842871536730819,157,16,I285,{567246E6-6A72-408F-8693-46617960E217},
-84.489722960996929,33.825110208261812,158,15,I285,{1AE69F8E-2A90-4E60-8247-C81323B743FC},
-84.488413114498258,33.799459986764745,159,13,I285,{DF6F1A25-AD42-4489-9CF8-7E3C03108592},
-84.493052015767788,33.786870916974202,160,12,I285,{F49E29D2-FDE3-42EB-BEE0-784B393052E3},
-84.49389082675745,33.765117439520424,161,10A/B,I285,{8372E393-CBD4-4B71-885F-B2837FE3B7F4},
-84.468888645169002,33.756969457065892,162,52A/B,I20,{CB0D5CBD-A54A-419B-A3D3-7DAA6DD482FF},
-84.240630665672938,33.778178395332986,163,41,I285,{BCB339E3-D5DD-46A9-BBE1-51F165994138},
-84.495479463961445,33.753577246343049,164,9,I285,{FC9F1128-C283-433A-9CF4-54D882F604F9},
-84.502690025547381,33.723032317154683,165,7,I285,{5D6F01E6-A3F9-4B7B-BB57-71DC62AB7F5D},
-84.500065524968846,33.690242122150529,166,5A/B,I285,{54AB50A8-8EE6-4281-ADBD-05455DD8B8CD},
-84.40482084881701,33.697040204781693,167,243,I75,{5FBA2663-7F08-461D-A404-E8F15CEB335E},
-84.411589910097476,33.681326826937372,168,76,I85,{3D2A6584-DB91-4617-98F4-08237B7A566C},
-84.40791128851653,33.684217449616767,169,77,I85,{CC4B5300-557B-4B64-A6F3-410340C056A0},
-84.400070702150089,33.688748403864203,170,242,I75,{86552C72-D81B-4622-874E-4056A93D1E69},
-84.349214147153759,33.745439211668874,171,60A/B,I20,{9AF9C09F-AFAD-4521-8795-5D4D6D8045DA},
-84.394798567943496,33.722132554526567,172,244,I75,{12AAF1F7-D44E-45D0-915E-6D24D4A0EA11},
-84.310003502833041,33.683976084515841,173,51,I285,{172A8F12-8B96-486E-92DF-6661554D3729},
-84.265817788945753,33.699143826737171,174,48,I285,{F45E7FD3-3183-4888-A50A-210EB3152A8F},
-84.303877321207764,33.63329362552561,175,7,I675,{5B03911F-F790-41D7-97DF-721CC8EEB4B3},
-84.398434177350083,33.617562796277703,176,237,I75,{D1B2454B-11BB-4EF9-838C-8C118E8835A1},
-84.387963411873443,33.632109030666285,177,58,I285,{32CD6AA7-9091-4766-8B1D-5FE8E06BEBA9},
-84.367051604243386,33.652122137446398,178,55,I285,{782E46CF-E7E0-4E10-82C4-0B76FAACE17D},
-84.400356342582484,33.641117102326177,179,239,I75,{AFF2CB9E-B9A1-4B59-8A28-17807CFD8FF7},
-84.400989574964854,33.633025531632576,180,238A/B,I75,{96314AC4-83B9-4898-AE3B-D29E96BA2633},
-84.410227702025864,33.631727831284863,181,59,I285,{648BB917-4F31-49BC-9588-29D6C19D8CE2},
-84.438502038761158,33.617007380188817,182,60,I285,{BB8C7BBF-E1E4-4E68-9919-6711FE3EBE82},
-84.455922852707232,33.629493480383644,183,71,I85,{AF110297-4EDC-4253-8C57-5448C61848FD},
-84.432871969737278,33.65797870293472,184,73A/B,I85,{F1991CDE-47EA-438D-B53D-71F339945F9B},
-84.418580321614627,33.665223790174991,185,75,I85,{80E9D89C-D740-4438-B12C-39DBAA859A9C},
-84.497642274196565,33.656559259394257,186,2,I285,{D01DF934-C6C2-4114-A1B3-84373880FA97},
-84.492135164607404,33.636470828198007,187,1,I285,{BFD9D704-DA8C-47F3-BA33-C26D404272C1},
-84.473361082494648,33.901584421471824,188,260,I75,{E21CA481-2D95-40DE-87B5-61BB9C2E83AA},
-84.390162715942594,33.745138277082162,189,247,I75,{AE49D3A4-E955-48C7-A467-3783CEB0DE08},
-84.251675484137721,33.816007047589508,190,39A/B,I285,{C5D52D14-6ED9-4381-BDFD-A7B110CC1282},
-83.666892837526618,32.790917129693383,191,160B,I75,{3970F485-4B90-44E9-9A4D-61B050372B31},
-83.646012565112585,32.84095361237469,192,164,I75,{AD71EFCA-2C42-41FC-93A9-D6EB7108001B},
-83.781261256851607,32.940217877465876,193,175,I75,{53016FD4-99F4-460F-B0FF-269EA29C2F90},
