OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Housing_units_built_since_2000,Owner_occupied_housing_units,Renter_occupied_housing_units,GlobalID,Pop_Chng_per_SqMi_2000_2010,Percent_1Unit_Detached,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Pct_Owner_Occ_HousUnits,Pct_Renter_Occ_Units
116,130301,13117130301,1303.01,ARC 20,2015-05-21T19:06:00.000Z,1671,1484,88.8,187,11.2,9.9,0,1307,752,1317,167,{F9648F96-78AC-4630-BF55-387690143374},240.6,78.2,45,816,103,6.2,88.7,11.3
117,130405,13117130405,1304.05,ARC 20,2015-05-21T19:06:00.000Z,1385,1132,81.7,253,18.3,18.6,0,1254,661,1015,117,{113024F4-36A7-457D-B415-202CE736054B},542.1,90.5,47.7,566,158,11.4,89.7,10.3
118,130504,13117130504,1305.04,ARC 20,2015-05-21T19:06:00.000Z,1678,1319,78.6,359,21.4,16.1,0,1678,301,1039,280,{E1D1C8F8-A55D-4FA3-8E47-DFE7EEA7A33F},64.7,100,17.9,1023,354,21.1,78.8,21.2
119,130505,13117130505,1305.05,ARC 20,2015-05-21T19:06:00.000Z,1283,1056,82.3,227,17.7,8.6,0,1218,151,1015,41,{CC94570F-5DAF-4453-BBB3-DA8343117328},74.6,94.9,11.8,710,422,32.9,96.1,3.9
120,130503,13117130503,1305.03,ARC 20,2015-05-21T19:06:00.000Z,1187,901,75.9,286,24.1,18.3,0,1024,454,727,174,{79A23590-368D-4825-94DF-3B275F982F0C},70.7,86.3,38.2,441,292,24.6,80.7,19.3
121,130102,13117130102,1301.02,ARC 20,2015-05-21T19:06:00.000Z,994,955,96.1,39,3.9,0,0,891,447,887,68,{F8873006-5857-4650-9176-860884FB6375},207.4,89.6,45,439,108,10.9,92.9,7.1
122,130103,13117130103,1301.03,ARC 20,2015-05-21T19:06:00.000Z,1348,1136,84.3,212,15.7,13.3,0,1063,572,914,222,{8D81FFAA-41CE-472A-A884-3BB04BFE7F80},190.1,78.9,42.4,547,229,17,80.5,19.5
123,130303,13117130303,1303.03,ARC 20,2015-05-21T19:06:00.000Z,1255,1130,90,125,10,3,24.4,1189,232,1065,65,{E4D8E1AC-A6F5-407C-A300-FB0E92F82661},111.4,94.7,18.5,844,179,14.3,94.2,5.8
124,130201,13117130201,1302.01,ARC 20,2015-05-21T19:06:00.000Z,1456,1353,92.9,103,7.1,4.6,0,1381,979,1206,147,{1AE05FA1-126C-4F63-95D4-CA4816EA7A6F},221.6,94.8,67.2,416,61,4.2,89.1,10.9
125,030232,13067030232,302.32,ARC 10,2015-05-21T19:06:00.000Z,1982,1865,94.1,117,5.9,3.3,12.4,1841,570,1674,191,{4073C151-5C62-4BE7-8289-C7B40DE9E31A},231.8,92.9,28.8,1140,272,13.7,89.8,10.2
