OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Under_5_population__2010,GlobalID,Pop_Change_per_SqMi_2000_2010,Pct_Population_under_5_2010
150,13117130204,1302.04,ARC 20,2015-05-19T14:22:24.000Z,36.1,63125,428,{5EDF0F91-2F1B-44A3-A0D8-99EF556E49D7},470,9.44
151,13117130202,1302.02,ARC 20,2015-05-19T14:22:24.000Z,48.3,94821,236,{D7ADD5E2-9A17-4100-80CA-81CFE686FB4D},402.2,5.66
152,13117130509,1305.09,ARC 20,2015-05-19T14:22:24.000Z,38.6,66284,198,{CE610C25-B3B5-420F-B21C-5B2F307B34BD},-2.4,6.09
153,13117130403,1304.03,ARC 20,2015-05-19T14:22:24.000Z,25.7,68456,478,{0BFA8FA3-FD35-47D2-BBAA-ABB150B9D547},154.5,8.44
154,13067031506,315.06,ARC 10,2015-05-19T14:22:24.000Z,25.3,53906,300,{BC9431F3-0BDA-47D3-8CC8-4A8FD7502FD2},92.2,6.23
155,13067031508,315.08,ARC 10,2015-05-19T14:22:24.000Z,37.6,70882,319,{49204ABD-AC8C-470C-8CA8-55E7BBF61E0F},257.7,6.27
156,13067031116,311.16,ARC 10,2015-05-19T14:22:24.000Z,17,39228,639,{014641CD-0ABB-41AE-B78C-2B67105EA7C3},-264.5,11.18
157,13067031115,311.15,ARC 10,2015-05-19T14:22:24.000Z,44.9,57560,432,{215195E8-24B2-4CA9-9046-89976C8C5DB4},425,9.43
158,13067030223,302.23,ARC 10,2015-05-19T14:22:24.000Z,42.5,65453,398,{B1347B07-D60F-4723-A77F-9B539BE500DB},661.2,6.48
159,13067031312,313.12,ARC 10,2015-05-19T14:22:24.000Z,44.7,61176,995,{1E9436D6-60E4-4CA1-99C8-99F2278235AF},689.6,11.54
160,13067031313,313.13,ARC 10,2015-05-19T14:22:24.000Z,70.9,107841,1287,{C2AE6041-8742-4F8D-9711-B2D1EB0E6A5B},975,13.27
161,13067031309,313.09,ARC 10,2015-05-19T14:22:24.000Z,24,52714,587,{465BB28B-1566-4111-9EBF-9EA45E4AAEB5},307.1,7.94
162,13117130101,1301.01,ARC 20,2015-05-19T14:22:24.000Z,29.4,80040,227,{5EBCDAC4-811E-4D29-A996-2B4D90DDCA23},148.6,6.51
163,13117130104,1301.04,ARC 20,2015-05-19T14:22:24.000Z,34,71382,262,{C37754DC-B49F-4DB0-A1B2-4D3AC3E3A13E},147.6,6.62
164,13117130506,1305.06,ARC 20,2015-05-19T14:22:24.000Z,40.1,70313,198,{A87C655F-5678-453F-9F40-A4BCD981DE14},309,6.25
165,13067031509,315.09,ARC 10,2015-05-19T14:22:24.000Z,26.3,68125,625,{24260030-8A6B-4330-AD33-446FB78F8409},435.1,6.33
166,13067031113,311.13,ARC 10,2015-05-19T14:22:24.000Z,33.6,29523,105,{1FCF580F-C25A-4AA5-90DA-55F2FE8F4FB3},-757.5,10.22
167,13067031114,311.14,ARC 10,2015-05-19T14:22:24.000Z,39.5,41880,576,{93BFF60A-5F9A-4543-ACBB-2491F83142D3},1146.4,8.57
