OBJECTID,NAME,TYPE,LCI_NAME,LCI_YEAR,Major_Act_,last_edited_date,GlobalID
20,Lovejoy,Town Center,Not an LCI Center,N/A,,,{9C6769CE-4099-4610-8F87-59D48FDFE3D5}
21,McDonough,Town Center,McDonough,2004,,,{0F9977C4-858F-4BAD-AE04-805D421EE0FF}
22,Fayetteville,Town Center,Fayetteville,2002,,,{7432AE94-45AC-4B04-ABDC-12D2032F44EA}
23,Tyrone,Town Center,Not an LCI Center,N/A,,,{F3D5BA57-7C4E-4CF9-BDAA-2F7211373330}
24,Fayetteville Pavilion,Regional Center,Not an LCI Center,N/A,,,{39C70A50-CAD1-46EE-A960-C049EEA8278B}
25,Palmetto,Town Center,Not an LCI Center,N/A,,,{9E64D700-E6CE-4677-A8F1-78ECFCFADB4E}
26,Jonesboro,Town Center,Jonesboro,2003,,,{DCC89BF8-F464-4CCD-86A6-12660FBC0BC0}
27,Stockbridge,Town Center,Stockbridge,2000,,,{DE35780E-FE33-4833-AF63-9684123792D3}
28,Fairburn,Town Center,Not an LCI Center,N/A,,,{A6BF4276-6DCD-4CB1-95F6-7D63B762495C}
29,Riverdale,Town Center,Not an LCI Center,N/A,,,{777F5108-73C9-491F-9871-324E1C1B2271}
30,Southlake,Regional Center,Not an LCI Center,N/A,,,{F4D0E68F-BE6D-429E-89D1-0D96BC30F285}
31,Chattahochee Hill Country,Regional Center,ChattHill Country West Village,2003,,,{F4B6BF5B-05D5-4E8D-BD7C-52C90BF4AD7A}
32,Union City,Town Center,Union City,2003,,,{27AE8884-3BC0-4864-A535-7F12D36051CA}
33,Morrow,Town Center,Not an LCI Center,N/A,,,{B07F0A5F-2CC5-4200-9BAA-1118F4A6C87A}
34,Morrow LCI,Town Center,Morrow,2000,,,{5E5D4E08-AD94-4BFF-8CD9-164B83AE4BF4}
35,Lake City,Town Center,Not an LCI Center,N/A,,,{8CA83052-7626-4A67-A954-2E683E506202}
36,Northwest Clayton,Regional Center,Northwest Clayton,2004,,,{A9C1C6CE-2843-4731-852C-0A42B3BC77E8}
37,Forest Park,Town Center,Forest Park,2001,,,{D4BEAB44-357C-4A80-B961-84B31E51495D}
38,Old National,Regional Center,Old National,2003,,,{81CEB241-5805-434B-AA8E-2200405CC7E4}
